Script,Buy Value,Sym P/E,Div Yield,Buy % Change,Sell % Change,Sell 52W High,Buy 52W High,Rank
HFCL,78.5,25,1,-8,8,95,50,7
HIL,2391.3,25,1,-8,8,95,50,7
HINDALCO,522.2,25,1,-8,8,95,50,7
HINDCOPPER,138,25,1,-8,8,95,50,7
HINDPETRO,237.51,25,1,-8,8,95,50,7
HINDUNILVR,2100,25,1,-8,8,95,50,7
HINDZINC,308,25,1,-8,8,95,50,7
HSCL,65,25,1,-8,8,95,50,7
HUDCO,50.6,25,1,-8,8,95,50,7
HUHTAMAKI,144.84,25,1,-8,8,95,50,7
IBULHSGFIN,104.34,25,1,-8,8,95,50,7
ICICIBANK,902,25,1,-8,8,95,50,7
ICIL,106.5,25,1,-8,8,95,50,7
IEX,111.96,25,1,-8,8,95,50,7
IFBIND,803,25,1,-8,8,95,50,7
IGL,434,25,1,-8,8,95,50,7
IIFL,369.2,25,1,-8,8,95,50,7
INDIAGLYCO,632,25,1,-8,8,95,50,7
INDIGO,2167,25,1,-8,8,95,50,7
INDUSINDBK,1100,25,1,-8,8,95,50,7
INDUSTOWER,135,25,1,-8,8,95,50,7
INFY,1253.25,25,1,-8,8,95,50,7
INSECTICID,380,25,1,-8,8,95,50,7
INTELLECT,839,25,1,-8,8,95,50,7
IOC,78.75,25,1,-8,8,95,50,7
IOLCP,450,25,1,-8,8,95,50,7
IRCON,84,25,1,-8,8,95,50,7
ITC,425,25,1,-8,8,95,50,7
JBCHEPHARM,2702,25,1,-8,8,95,50,7
JCHAC,1087.2,25,1,-8,8,95,50,7
JISLJALEQS,48,25,1,-8,8,95,50,7
JKLAKSHMI,578,25,1,-8,8,95,50,7
JKLAKSHMI,458,25,1,-8,8,95,50,7
JKPAPER,320,25,1,-8,8,95,50,7
JMFINANCIL,49.53,25,1,-8,8,95,50,7
JSWENERGY,217.74,25,1,-8,8,95,50,7
JSWSTEEL,740,25,1,-8,8,95,50,7
JUBLINGREA,400,25,1,-8,8,95,50,7
JUBLPHARMA,249.6,25,1,-8,8,95,50,7
JUSTDIAL,700,25,1,-8,8,95,50,7
KAYNES,1800,25,1,-8,8,95,50,7
KEC,452,25,1,-8,8,95,50,7
KOTAKBANK,1800,25,1,-8,8,95,50,7
KPIL,452,25,1,-8,8,95,50,7
KRBL,302.6,25,1,-8,8,95,50,7
KSB,1289,25,1,-8,8,95,50,7
KSCL,535.7,25,1,-8,8,95,50,7
KTKBANK,189,25,1,-8,8,95,50,7
L&TFH,90.2,25,1,-8,8,95,50,7
LAURUSLABS,285.3,25,1,-8,8,95,50,7
LICHSGFIN,533,25,1,-8,8,95,50,7
LODHA,600,25,1,-8,8,95,50,7
LTIM,5200,25,1,-8,8,95,50,7
LUXIND,1204.65,25,1,-8,8,95,50,7
M&M,1487,25,1,-8,8,95,50,7
MAHLOG,533,25,1,-8,8,95,50,7
MAITHANALL,1010,25,1,-8,8,95,50,7
MANALIPETC,127.1,25,1,-8,8,95,50,7
MASFIN,569,25,1,-8,8,95,50,7
MAYURUNIQ,470,25,1,-8,8,95,50,7
MAZDOCK,1500,25,1,-8,8,95,50,7
METROPOLIS,1350,25,1,-8,8,95,50,7
MGL,896.175,25,1,-8,8,95,50,7
MIDHANI,209,25,1,-8,8,95,50,7
MIDHANI,290,25,1,-8,8,95,50,7
MMTC,23.34,25,1,-8,8,95,50,7
MOTHERSON,95.76,25,1,-8,8,95,50,7
MPHASIS,1678.5,25,1,-8,8,95,50,7
MRF,67590,25,1,-8,8,95,50,7
MRPL,72,25,1,-8,8,95,50,7
NATCOPHARM,540.45,25,1,-8,8,95,50,7
NATIONALUM,119,25,1,-8,8,95,50,7
NAVINFLUOR,4322,25,1,-8,8,95,50,7
NFL,54,25,1,-8,8,95,50,7
NHPC,50,25,1,-8,8,95,50,7
NIITLTD,94,25,1,-8,8,95,50,7
NMDC,104.67,25,1,-8,8,95,50,7
NSLNISP,28.74,25,1,-8,8,95,50,7
OFSS,3658.95,25,1,-8,8,95,50,7
OIL,222.5,25,1,-8,8,95,50,7
ORIENTPPR,34.4,25,1,-8,8,95,50,7
PAISALO,45,25,1,-8,8,95,50,7
PARAS,373.8,25,1,-8,8,95,50,7
PATANJALI,1046,25,1,-8,8,95,50,7
PCBL,128,25,1,-8,8,95,50,7
PCJEWELLER,30.8,25,1,-8,8,95,50,7
PETRONET,130.53,25,1,-8,8,95,50,7
PFC,147,25,1,-8,8,95,50,7
PIDILITIND,2504.7,25,1,-8,8,95,50,7
PIIND,3300,25,1,-8,8,95,50,7
PNB,26.31,25,1,-8,8,95,50,7
PNBHOUSING,559.1,25,1,-8,8,95,50,7
POLYCAB,4520,25,1,-8,8,95,50,7
POWERGRID,208.35,25,1,-8,8,95,50,7
PRECISION,35,25,1,-8,8,95,50,7
PTC,82.55,25,1,-8,8,95,50,7
PVRINOX,1725.5,25,1,-8,8,95,50,7
QUESS,410,25,1,-8,8,95,50,7
RADICO,1014.3,25,1,-8,8,95,50,7
RAIN,155,25,1,-8,8,95,50,7
RAMCOSYS,269.75,25,1,-8,8,95,50,7
RANASUG,29,25,1,-8,8,95,50,7
RATNAMANI,2450,25,1,-8,8,95,50,7
RBA,119,25,1,-8,8,95,50,7
RBLBANK,209,25,1,-8,8,95,50,7
RCF,110,25,1,-8,8,95,50,7
REDINGTON,182,25,1,-8,8,95,50,7
RELIANCE,2351,25,1,-8,8,95,50,7
RELIGARE,220,25,1,-8,8,95,50,7
RENUKA,56,25,1,-8,8,95,50,7
RESPONIND,209,25,1,-8,8,95,50,7
ROLEXRINGS,1800,25,1,-8,8,95,50,7
ROUTE,1350,25,1,-8,8,95,50,7
RUPA,238,25,1,-8,8,95,50,7
SAIL,69.84,25,1,-8,8,95,50,7
SANSERA,659,25,1,-8,8,95,50,7
SAREGAMA,350,25,1,-8,8,95,50,7
SBICARD,820,25,1,-8,8,95,50,7
SBIN,551,25,1,-8,8,95,50,7
SCHAEFFLER,2567,25,1,-8,8,95,50,7
SDBL,91.4,25,1,-8,8,95,50,7
SEQUENT,78.975,25,1,-8,8,95,50,7
SHREECEM,23394.6,25,1,-8,8,95,50,7
SHRIRAMFIN,1397,25,1,-8,8,95,50,7
SHYAMMETL,380,25,1,-8,8,95,50,7
SIS,521.3,25,1,-8,8,95,50,7
SJS,323.58,25,1,-8,8,95,50,7
SJVN,55,25,1,-8,8,95,50,7
SONACOMS,320.34,25,1,-8,8,95,50,7
SOUTHBANK,21,25,1,-8,8,95,50,7
SPANDANA,659,25,1,-8,8,95,50,7
SRF,2250,25,1,-8,8,95,50,7
SRHHYPOLTD,395,25,1,-8,8,95,50,7
SSWL,98,25,1,-8,8,95,50,7
STLTECH,150,25,1,-8,8,95,50,7
STYRENIX,573.6,25,1,-8,8,95,50,7
SUDARSCHEM,354.15,25,1,-8,8,95,50,7
SUMMITSEC,800,25,1,-8,8,95,50,7
SUNTV,515,25,1,-8,8,95,50,7
SURYAROSNI,497,25,1,-8,8,95,50,7
SYNGENE,650,25,1,-8,8,95,50,7
TANLA,800,25,1,-8,8,95,50,7
TASTYBITE,12500,25,1,-8,8,95,50,7
TATACHEM,1091,25,1,-8,8,95,50,7
TATAINVEST,2100,25,1,-8,8,95,50,7
TATAMOTORS,465.12,25,1,-8,8,95,50,7
